,n1,n2,n3,n4,block_type,time
132,11,13,141,6,1,1.7159702777862549
133,6,12,37,20,0,0.7537760734558105
134,6,8,75,10,1,1.040755271911621
135,2,33,73,7,1,1.2075014114379883
136,1,13,9,4,0,0.28105950355529785
137,3,44,63,1,1,1.1269478797912598
138,6,2,31,7,1,0.5314311981201172
139,5,14,63,3,1,0.8799197673797607
140,8,8,131,11,1,2.1800100803375244
141,19,43,99,20,1,1.957348346710205
142,7,40,7,5,1,0.7014045715332031
143,18,6,171,10,1,2.112577199935913
144,18,26,144,9,1,2.082811117172241
145,18,27,43,13,1,1.174539566040039
146,6,4,55,12,1,0.8360369205474854
147,11,18,47,2,1,0.846454381942749
148,16,3,31,16,1,0.808074951171875
149,12,14,10,15,1,0.6422345638275146
150,20,38,68,16,1,1.545431137084961
151,6,24,171,5,1,2.0340144634246826
152,12,11,14,2,1,0.5299632549285889
153,8,25,119,11,1,1.6677744388580322
154,13,37,150,9,1,2.0860700607299805
155,12,3,68,2,1,0.9417014122009277
156,10,41,176,5,1,2.32161283493042
157,14,42,164,8,1,2.2887372970581055
158,8,41,28,18,1,1.1028435230255127
159,12,22,39,12,1,0.9462008476257324
160,14,40,74,16,1,1.537367343902588
161,10,46,65,7,1,1.3378100395202637
162,4,41,32,15,1,1.0133335590362549
163,1,21,199,3,1,2.176922082901001
164,10,29,180,13,1,2.3192193508148193
165,20,4,145,1,1,1.7772302627563477
166,13,17,32,5,0,0.6296398639678955
167,9,4,110,14,1,1.3967492580413818
168,6,21,27,11,1,0.7465693950653076
169,6,12,174,6,1,1.9646146297454834
170,8,23,191,18,1,2.4270997047424316
171,5,23,214,17,1,2.955162525177002
172,1,39,77,20,1,1.5511975288391113
173,10,30,58,3,1,1.0740201473236084
174,12,19,20,10,0,0.5924367904663086
175,11,27,213,10,1,2.5704119205474854
176,20,16,37,11,1,0.9827225208282471
177,15,23,211,12,1,2.584134817123413
178,2,40,46,7,1,1.0122370719909668
179,7,30,22,16,1,0.8685507774353027
180,18,11,9,11,0,0.49720287322998047
181,6,22,158,1,1,1.8276362419128418
182,9,23,175,13,1,2.1826531887054443
183,6,18,189,15,1,2.7276482582092285
184,9,29,92,2,1,1.3828315734863281
185,19,43,191,17,1,2.8589115142822266
186,1,42,14,7,1,0.7285294532775879
187,4,26,13,10,0,0.5120909214019775
188,17,16,25,6,1,0.7307422161102295
189,7,35,125,2,1,1.6618616580963135
190,16,28,121,13,1,1.8248918056488037
191,17,7,54,11,1,0.9934298992156982
192,12,42,57,13,1,1.3282496929168701
193,18,6,17,14,1,0.6988184452056885
194,7,45,136,9,1,1.9708704948425293
195,12,27,26,7,1,0.8375260829925537
196,11,33,160,19,1,2.250434398651123
197,5,42,154,10,1,2.1620423793792725
198,3,29,18,2,1,0.6201152801513672
199,4,26,1,17,0,0.4958658218383789
200,11,10,48,2,1,0.7617268562316895
201,3,15,212,17,1,2.4190893173217773
202,8,35,152,7,1,2.067436933517456
203,3,9,36,13,0,0.6494648456573486
204,6,36,87,6,1,1.667320966720581
205,20,20,13,12,0,0.6323950290679932
206,10,7,117,6,1,1.401681661605835
207,9,2,167,3,1,1.783916711807251
208,7,16,21,14,0,0.600968599319458
209,4,21,107,4,1,1.343874454498291
210,16,22,139,20,1,2.021134614944458
211,6,35,55,20,1,1.2689259052276611
212,16,30,93,20,1,1.690903663635254
213,3,38,138,13,1,1.9102590084075928
214,20,30,94,3,1,1.5437347888946533
215,11,12,20,4,1,0.5658848285675049
216,7,19,87,6,1,1.220280647277832
217,14,32,70,13,1,1.3568482398986816
218,11,25,20,14,1,0.8178672790527344
219,6,40,206,11,1,2.5673675537109375
220,3,20,166,15,1,2.04880690574646
221,19,33,213,4,1,2.733541250228882
222,17,47,153,4,1,2.256565570831299
223,2,23,17,12,1,0.6603708267211914
