,n1,n2,n3,n4,block_type,nf,time
193,9,6,25,3,0,1,0.014500061670939127
194,7,9,88,4,1,123,4.080347379048665
195,13,3,22,12,1,78,0.9943497975667318
196,7,9,127,1,1,6,0.11350067456563313
197,4,25,85,7,1,176,8.492919445037842
198,13,27,58,9,1,176,7.547194878260295
199,12,9,7,7,1,10,0.18402703603108725
200,1,25,82,6,1,123,4.267632484436035
201,8,1,103,4,1,68,1.5230988661448162
202,7,27,61,7,1,88,2.1031342347462973
203,6,7,17,2,0,1,0.012454986572265625
204,6,9,11,4,0,41,0.1790307362874349
205,6,17,76,10,1,123,4.147291262944539
206,11,31,100,11,1,162,9.193935791651407
207,12,5,19,13,0,2,0.018393278121948242
208,10,7,94,1,1,176,8.041473468144735
209,8,7,7,10,0,88,0.7125189304351807
210,12,23,19,12,1,15,0.13562528292338052
211,3,11,64,3,1,3,0.04376220703125
212,12,23,16,13,1,88,1.4412377675374348
213,6,17,25,11,1,2,0.030017534891764324
214,11,15,115,7,1,99,3.8420355319976807
215,7,23,139,8,1,10,0.21380035082499185
216,6,15,37,10,1,1,0.030449390411376953
217,3,9,49,13,1,34,0.3440405527750651
218,9,17,13,6,1,176,3.3919753233591714
219,2,7,11,9,0,136,1.5430444876352947
220,1,19,94,7,1,1,0.08525967597961426
221,12,3,43,12,1,41,0.613797108332316
222,7,17,103,8,1,136,6.202851215998332
223,13,7,25,11,1,27,0.26247747739156085
224,11,3,103,10,1,21,0.3092613220214844
225,7,17,139,12,1,68,2.59359081586202
226,4,13,34,6,1,99,1.628090778986613
227,11,6,23,8,0,6,0.045537471771240234
228,9,3,94,3,1,162,6.878281116485596
229,12,21,136,3,1,58,1.7125180562337239
230,6,9,43,12,1,41,0.45568688710530597
231,7,1,121,5,1,6,0.10122140248616536
232,5,12,5,8,0,123,1.1589922110239665
233,6,1,136,10,1,136,6.646577676137288
234,9,6,19,1,0,162,2.1179568767547607
235,3,15,49,5,1,50,0.6429216861724854
236,3,6,5,7,0,136,1.264970064163208
237,11,1,64,1,1,6,0.06473239262898763
238,13,11,15,3,0,6,0.0511771043141683
239,10,7,109,8,1,10,0.1757070223490397
240,6,17,7,3,1,136,1.8147494792938232
241,4,7,124,1,1,99,3.342395305633545
242,10,10,25,7,0,10,0.06887547175089519
243,12,11,16,3,1,10,0.06617236137390137
244,13,7,10,1,1,68,0.5146810213724772
245,1,4,11,2,0,10,0.023045937220255535
246,5,31,4,6,1,15,0.09385863939921062
247,12,13,25,1,0,162,3.3534723122914634
248,5,17,85,11,1,78,1.9287691116333008
249,8,31,130,3,1,111,5.045580625534058
250,11,1,73,2,1,21,0.24968353907267252
251,10,19,136,10,1,2,0.07469360033671062
252,12,27,118,4,1,191,14.597763856252035
253,8,25,115,9,1,78,2.597548564275106
254,5,9,79,6,1,41,0.6254436175028483
255,11,1,11,6,0,78,0.5100119908650717
256,11,13,1,12,1,58,0.4857223828633626
257,4,19,136,3,1,58,1.553844690322876
258,11,9,115,10,1,78,2.6853884855906167
259,6,27,130,13,1,78,2.819161891937256
260,10,3,82,4,1,149,5.113510529200236
261,4,19,16,4,1,68,0.6519473393758138
262,13,3,130,5,1,162,9.245455900828043
263,13,1,55,10,1,68,1.1700983047485352
264,11,11,109,3,1,111,4.133401155471802
265,2,23,37,9,1,2,0.03188053766886393
266,4,7,46,8,1,78,1.1302277247111003
267,4,23,37,12,1,149,4.5229841868082685
268,11,21,55,2,1,41,0.5838906764984131
269,7,7,10,2,1,6,0.039711713790893555
270,9,17,58,1,1,10,0.10810216267903645
271,10,7,124,2,1,41,0.8424175580342611
272,1,13,1,5,1,6,0.02385250727335612
273,1,5,31,1,1,2,0.023707151412963867
274,13,3,88,10,1,21,0.2814216613769531
275,8,11,142,8,1,27,0.5316131114959717
276,12,23,70,13,1,136,5.3610977331797285
277,5,21,112,9,1,88,2.923976023991903
278,3,21,46,10,1,6,0.10286084810892741
